City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,76.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Faanui,PF,80.38,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Cape Coast,GH,78.58,broken clouds,5.1053,-1.2466,Samrit Hotel
12,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
14,Byron Bay,AU,75.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
16,Matara,LK,78.17,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
17,Rikitea,PF,75.09,light rain,-23.1203,-134.9692,People ThankYou
19,Alofi,NU,78.39,scattered clouds,-19.0595,-169.9187,Taloa Heights
25,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
31,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
32,Cabo San Lucas,MX,86.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
33,Itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
35,Mayumba,GA,76.14,overcast clouds,-3.432,10.6554,LIKWALE LODGE
36,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Veraval,IN,77.67,broken clouds,20.9,70.3667,Lords Inn Somnath
41,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
43,Aswan,EG,82.89,clear sky,24.0934,32.907,Nuba Nile
48,Vaini,TO,75.83,overcast clouds,-21.2,-175.2,Keleti Beach Resort
49,Sao Filipe,CV,78.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
51,Pochutla,MX,85.05,few clouds,15.7432,-96.4661,Hotel Posada San Jose
60,Poum,NC,76.71,few clouds,-20.2333,164.0167,Gîte kajeon
63,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
66,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
68,Novo Aripuana,BR,84.78,broken clouds,-5.1206,-60.3797,POUSADA Flexy
72,Muli,MV,82.9,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
75,Sawai Madhopur,IN,77.07,overcast clouds,25.9833,76.3667,Vivanta Sawai Madhopur Lodge
78,Itarema,BR,80.11,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
84,Dingle,PH,81.41,few clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Mangrol,IN,78.21,broken clouds,21.1167,70.1167,Hotel The Royal Honours
92,Contamana,PE,80.38,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
97,Victoria,HK,75.33,broken clouds,22.2855,114.1577,Mini Hotel Central
99,Tevaitoa,PF,80.02,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
101,Axim,GH,78.17,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
103,Monterey,US,82.06,clear sky,36.2505,-121.2516,
107,Ibipeba,BR,80.24,overcast clouds,-11.6408,-42.0111,Quitanda santos
109,Georgetown,MY,81.9,broken clouds,5.4112,100.3354,Cititel Penang
112,Hobyo,SO,78.01,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
114,Narasannapeta,IN,77.56,moderate rain,18.4167,84.05,G.lingaraju home
119,Lompoc,US,84.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Tanabi,BR,76.55,broken clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
128,Hithadhoo,MV,82.51,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Coahuayana,MX,83.68,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
131,Guanica,PR,83.14,light rain,17.9716,-66.908,Copamarina Beach Resort & Spa
136,Port Blair,IN,80.46,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
140,Butaritari,KI,81.81,clear sky,3.0707,172.7902,Isles Sunset Lodge
141,Bandarbeyla,SO,77.29,broken clouds,9.4942,50.8122,JABIR HOTEL
142,Taoudenni,ML,86.92,broken clouds,22.6783,-3.9836,
143,Mogadishu,SO,78.13,scattered clouds,2.0371,45.3438,Hotel Juba
144,Madera,US,84.0,clear sky,37.1666,-119.8343,
149,Umm Lajj,SA,83.03,clear sky,25.0213,37.2685,Moon light Furnished Units
152,Bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Samarai,PG,83.34,scattered clouds,-10.6167,150.6667,Nuli Sapi
165,Pemangkat,ID,79.95,overcast clouds,1.1667,108.9667,Ramah Kost KITA
170,Ayorou,NE,88.83,clear sky,14.7308,0.9174,Hotel Amenokal
171,Pandan,PH,82.56,scattered clouds,14.0453,124.1694,Bonifacio Lodge
176,Minab,IR,81.16,clear sky,27.1467,57.0801,Bam campground
