City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,59.02,62,0,11.99,clear sky
1,Bhadrachalam,IN,17.6667,80.8833,74.34,97,99,2.33,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,27.61,96,65,4.59,light snow
3,Hilo,US,19.7297,-155.09,76.8,91,90,10.36,moderate rain
4,Kruisfontein,ZA,-34.0033,24.7314,49.89,60,87,17.76,overcast clouds
5,Busselton,AU,-33.65,115.3333,61.05,74,100,9.6,overcast clouds
6,Faanui,PF,-16.4833,-151.75,80.38,70,28,19.28,scattered clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,9.22,scattered clouds
8,Cape Coast,GH,5.1053,-1.2466,78.58,88,63,9.48,broken clouds
9,Jumla,NP,29.2747,82.1838,52.48,47,21,5.46,few clouds
10,Bluff,NZ,-46.6,168.3333,58.1,65,78,10.58,light rain
11,Yellowknife,CA,62.456,-114.3525,34.41,100,90,5.75,mist
12,Atuona,PF,-9.8,-139.0333,77.5,80,39,18.88,light rain
13,Mahebourg,MU,-20.4081,57.7,72.25,76,8,11.79,clear sky
14,Byron Bay,AU,-28.65,153.6167,75.06,45,5,5.01,clear sky
15,Pangnirtung,CA,66.1451,-65.7125,29.52,57,3,6.24,clear sky
16,Matara,LK,5.9485,80.5353,78.17,88,91,14.23,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,75.09,80,12,11.12,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,51.28,73,97,11.12,light rain
19,Alofi,NU,-19.0595,-169.9187,78.39,70,47,13.13,scattered clouds
20,Hobart,AU,-42.8794,147.3294,58.05,58,75,12.66,broken clouds
21,Qaanaaq,GL,77.484,-69.3632,21.09,86,100,9.82,overcast clouds
22,Inta,RU,66.0317,60.1659,39.13,79,100,13.4,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,57.11,64,99,5.01,overcast clouds
24,Bethel,US,41.3712,-73.414,68.94,90,90,3.44,overcast clouds
25,Saint George,US,37.1041,-113.5841,77.47,15,1,0.0,clear sky
26,Severo-Kurilsk,RU,50.6789,156.125,40.77,59,100,8.68,overcast clouds
27,Vestmanna,FO,62.1564,-7.1664,38.32,87,90,2.3,overcast clouds
28,Douglas,US,41.3,-96.167,61.95,45,1,0.0,clear sky
29,Lypova Dolyna,UA,50.5643,33.7979,41.81,92,85,4.88,overcast clouds
30,Alta Floresta,BR,-9.8756,-56.0861,72.34,95,100,3.49,overcast clouds
31,Vila Velha,BR,-20.3297,-40.2925,78.75,78,90,12.66,overcast clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,86.61,69,20,11.5,few clouds
33,Itoman,JP,26.1247,127.6694,77.02,75,75,28.77,broken clouds
34,Lebu,CL,-37.6167,-73.65,51.04,85,84,14.12,broken clouds
35,Mayumba,GA,-3.432,10.6554,76.14,86,100,5.84,overcast clouds
36,Kapaa,US,22.0752,-159.319,84.18,72,40,5.01,light rain
37,Hermanus,ZA,-34.4187,19.2345,52.9,75,94,11.7,light rain
38,Tasiilaq,GL,65.6145,-37.6368,22.53,64,98,5.19,overcast clouds
39,Veraval,IN,20.9,70.3667,77.67,65,78,11.61,broken clouds
40,Novyy Urgal,RU,51.0736,132.5642,20.73,72,59,2.8,broken clouds
41,Kahului,US,20.8947,-156.47,84.22,62,40,21.85,light rain
42,Marienburg,PL,54.0359,19.0266,47.05,77,100,12.37,overcast clouds
43,Aswan,EG,24.0934,32.907,82.89,19,0,12.06,clear sky
44,Jamestown,US,42.097,-79.2353,54.72,75,90,5.99,overcast clouds
45,Westport,US,41.1415,-73.3579,70.81,83,90,5.01,overcast clouds
46,Hirna,ET,9.2167,41.1,60.15,35,1,2.84,clear sky
47,Almenara,BR,-16.1836,-40.6944,74.5,84,60,4.99,broken clouds
48,Vaini,TO,-21.2,-175.2,75.83,80,92,21.05,overcast clouds
49,Sao Filipe,CV,14.8961,-24.4956,78.49,79,100,6.67,overcast clouds
50,Griffith,US,41.5284,-87.4237,56.01,56,1,1.01,clear sky
51,Pochutla,MX,15.7432,-96.4661,85.05,84,22,2.93,few clouds
52,Ostrovnoy,RU,68.0531,39.5131,38.25,83,99,14.09,overcast clouds
53,Arraial Do Cabo,BR,-22.9661,-42.0278,72.68,94,81,8.97,broken clouds
54,Hasaki,JP,35.7333,140.8333,63.0,83,65,24.83,broken clouds
55,Ponta Do Sol,PT,32.6667,-17.1,72.72,50,87,3.4,overcast clouds
56,Kurilsk,RU,45.2333,147.8833,42.84,92,100,21.07,overcast clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,81,5.99,broken clouds
58,Khatanga,RU,71.9667,102.5,17.01,92,100,6.58,overcast clouds
59,Saurimo,AO,-9.6608,20.3916,64.56,96,63,4.07,broken clouds
60,Poum,NC,-20.2333,164.0167,76.71,80,17,5.88,few clouds
61,Rocha,UY,-34.4833,-54.3333,43.32,68,0,3.49,clear sky
62,Clyde River,CA,70.4692,-68.5914,26.06,80,70,10.4,broken clouds
63,Touros,BR,-5.1989,-35.4608,77.9,80,88,15.73,overcast clouds
64,Mehran,IR,33.1222,46.1646,74.68,26,5,10.07,clear sky
65,Port Alfred,ZA,-33.5906,26.891,55.62,60,39,21.43,scattered clouds
66,Natal,BR,-5.795,-35.2094,77.65,94,75,5.75,broken clouds
67,Mataura,NZ,-46.1927,168.8643,66.87,43,38,8.95,light rain
68,Novo Aripuana,BR,-5.1206,-60.3797,84.78,58,62,3.49,broken clouds
69,Chokurdakh,RU,70.6333,147.9167,-2.36,99,94,2.08,overcast clouds
70,Provideniya,RU,64.3833,-173.3,29.46,83,100,27.18,overcast clouds
71,College,US,64.8569,-147.8028,30.15,84,75,0.0,broken clouds
72,Muli,MV,2.9167,73.5667,82.9,76,99,21.9,overcast clouds
73,Ust-Barguzin,RU,53.45,108.9833,36.37,75,96,7.43,overcast clouds
74,Uvinza,TZ,-5.1036,30.3911,67.82,83,73,3.76,light rain
75,Sawai Madhopur,IN,25.9833,76.3667,77.07,55,86,3.94,overcast clouds
76,Grand Gaube,MU,-20.0064,57.6608,72.37,77,6,5.01,clear sky
77,Lons-Le-Saunier,FR,46.75,5.75,44.19,94,0,3.04,clear sky
78,Itarema,BR,-2.9248,-39.9167,80.11,78,80,16.84,broken clouds
79,Paraiso,CR,9.8383,-83.8656,68.41,97,100,1.14,overcast clouds
80,Saint-Philippe,RE,-21.3585,55.7679,71.15,72,40,13.78,scattered clouds
81,Kaitangata,NZ,-46.2817,169.8464,64.76,50,60,4.03,broken clouds
82,Albany,US,42.6001,-73.9662,60.28,92,91,1.01,moderate rain
83,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.51,95,100,19.01,overcast clouds
84,Dingle,PH,10.9995,122.6711,81.41,83,21,3.42,few clouds
85,Mangrol,IN,21.1167,70.1167,78.21,67,59,10.58,broken clouds
86,Souillac,MU,-20.5167,57.5167,72.36,79,5,9.31,clear sky
87,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,75,6.91,broken clouds
88,Iqaluit,CA,63.7506,-68.5145,27.7,86,0,1.99,clear sky
89,Saskylakh,RU,71.9167,114.0833,-1.57,99,99,4.07,overcast clouds
90,Shimoda,JP,34.6667,138.95,65.1,79,60,2.1,light rain
91,Isilkul,RU,54.9109,71.2728,41.56,74,96,7.07,overcast clouds
92,Contamana,PE,-7.3333,-75.0167,80.38,57,67,1.86,broken clouds
93,Palmer,US,42.1584,-72.3287,70.9,75,90,1.01,overcast clouds
94,Turukhansk,RU,65.8167,87.9833,35.01,98,100,16.62,overcast clouds
95,Saldanha,ZA,-33.0117,17.9442,56.08,65,73,14.32,broken clouds
96,Ribeira Grande,PT,38.5167,-28.7,73.53,85,100,40.15,overcast clouds
97,Victoria,HK,22.2855,114.1577,75.33,76,58,1.01,broken clouds
98,Port Elizabeth,ZA,-33.918,25.5701,52.11,56,52,20.38,broken clouds
99,Tevaitoa,PF,-16.7833,-151.5,80.02,71,50,19.48,scattered clouds
100,Tiksi,RU,71.6872,128.8694,9.28,88,96,6.55,overcast clouds
101,Axim,GH,4.8699,-2.2405,78.17,87,19,7.14,few clouds
102,Nokaneng,BW,-19.6667,22.2667,72.12,20,0,12.35,clear sky
103,Monterey,US,36.2505,-121.2516,82.06,9,0,8.14,clear sky
